Категория;Анекдот
Власть и политика;Находят митингующих по записям с видеокамер через нейросеть, хотя они в масках, их штрафуют, сажают… А вот человека, который выставил мою хату, спер дорогущий ноут, деньги, и лицо которого запечатлено на всех камерах подъезда, как-то блин, за два года найти не могут.
Разные;А у вас не складывается ощущения, что те, кто слышит в аромате вина «нотки засахаренного ананаса, лимонной меренги и лепестков роз», просто п*здят?
Злободневно;Если бы обезьяна собрала и спрятала бананов больше, чем могла съесть, пока её стая помирала от голода, учёные изучали бы её мозг на предмет патологии.Когда же находятся особи, похожие на людей, которые делают так — они попадают на обложку журнала Forbes.
Анекдоты про гинеколога;Ходила в поликлинику делать ЭКГ.В этот раз ЭКГ мне делала женщина и оказалось, что лифчик снимать совсем не обязательно.
Власть и политика;Ребята, сделайте меня пожалуйста замом министра чего угодно, мне чисто ипотеку закрыть и всё, я дальше сам уволюсь, обещаю. Я всё посчитал, чтобы закрыть ипотеку мне на таком посту потребуется 17 секунд.
Студенты;Министерство образования отменило ЕГЭ по иностранному языку, т.к. таковой подталкивает учеников уехать из России.В среднесрочных планах - отменить физкультуру, которая учит, как убежать из России, а также географию, которая показывает, куда бежать из России, и конечно же, историю, которая рассказывает, зачем бежать из России...
О жизни;Жертвоприношения - лучшая иллюстрация того, что в подарке главное внимание. Вряд ли богу нужен мёртвый козёл, но всё равно приятно.
Злободневно;С сегодняшнего дня действует запрет мата в соцсетях. Я возмущён этим, но теперь уже не могу описать, как сильно...
О жизни;- Что это у тебя в руках?- Электронная книга.- Ты что, пытаешься бросить читать?
Разные;Инопланетянин вернулся из командировки домой:- Ну как там Земля?- Очень красивая планета, но дуракам досталась.
Евреи;Израиль не может себе позволить арестовать 5000 человек. Каждому нужно будет предоставить бесплатного адвоката. После 4-х часов - горячий кофе, пита, хумус, консервированный тунец и творожок 3% или 5% жирности. Это может привести к непозволительным убыткам. Поэтому у нас четвертые выборы за год.
О жизни;Природа пытается компенсировать людям недостатки. У слепых идеальный слух, у глухих - хорошее зрение, а безмозглый может рассуждать на любые темы.
Парни и девушки;- Девушка, это ирония. Что такое ирония знаете?- Не знаю, профессор.- Ну, а сарказм хоть знаете?- Знаю (смущаясь), я его испытывала.
Работа;Когда мне было 19 и нужно было устраиваться на работу, мне было в лом писать сопроводительное письмо, поэтому я сделала фальшивое объявление о найме на работу и около 200 людей прислали заявки, я выбрала лучшее сопроводительное письмо как мое собственное.
